Age;Inches;Weight;GP;MIN;REB;OREB;DREB;BLK;PF;PFD;DIST_MILES;DIST_MILES_OFF;DIST_MILES_DEF;AVG_SPEED;AVG_SPEED_OFF;AVG_SPEED_DEF;CONTESTED_SHOTS;CONTESTED_SHOTS_2PT;CONTESTED_SHOTS_3PT;BOX_OUTS;OFF_BOXOUTS;DEF_BOXOUTS;DEFLECTIONS;CHARGES_DRAWN;target
29;84;268;75;29.6;5.4;1.6;3.8;1.7;2.6;4.0;2.0;1.06;0.94;4.05;4.35;3.76;14.63;12.48;2.15;0.0;0.0;0.0;1.09;0.0;1
21;81;205;9;4.5;1.1;0.6;0.6;0.1;0.4;0.0;0.36;0.2;0.16;4.56;4.89;4.21;1.56;0.89;0.67;0.0;0.0;0.0;0.33;0.0;1
23;75;190;36;7.9;0.6;0.1;0.6;0.0;0.6;0.1;0.57;0.32;0.25;4.32;4.72;3.9;1.19;0.69;0.5;0.0;0.0;0.0;0.22;0.0;1
24;76;214;82;23.0;3.3;0.4;2.9;0.1;1.4;0.8;1.79;0.96;0.83;4.66;5.12;4.23;5.45;3.1;2.35;0.0;0.0;0.0;1.1;0.0;0
33;74;175;62;16.3;1.4;0.3;1.2;0.0;1.4;1.2;1.18;0.63;0.54;4.34;4.74;3.96;2.73;1.19;1.53;0.0;0.0;0.0;1.53;0.06;1
26;77;195;22;4.9;0.5;0.2;0.4;0.0;0.4;0.3;0.34;0.18;0.16;4.12;4.44;3.93;1.05;0.45;0.59;0.0;0.0;0.0;0.23;0.05;1
25;75;190;80;34.9;3.6;0.8;2.9;0.5;2.5;2.9;2.6;1.48;1.13;4.49;5.02;3.94;8.7;5.25;3.45;0.0;0.0;0.0;1.53;0.04;1
30;78;225;76;23.4;3.0;0.4;2.6;0.3;2.0;1.1;1.58;0.84;0.74;4.06;4.32;3.8;5.12;2.51;2.61;0.0;0.0;0.0;1.16;0.12;1
22;75;185;31;14.9;1.5;0.1;1.5;0.1;1.7;0.6;1.07;0.58;0.49;4.32;4.75;3.91;3.29;1.87;1.42;0.0;0.0;0.0;0.9;0.13;1
22;79;203;57;21.7;3.3;0.4;2.9;0.1;1.6;1.5;1.57;0.83;0.74;4.34;4.75;3.96;4.4;2.56;1.84;0.0;0.0;0.0;1.82;0.04;1
